# Aluminum PSTAR data - NIST reference values
# Energy[MeV], S/rho[MeV*cm^2/g]
# Source: NIST PSTAR database
# Density: 2.699 g/cm³
0.001,23157.3
0.00125,19372.9
0.0015,16752.1
0.002,13521.6
0.0025,11282.3
0.003,9615.72
0.004,7836.89
0.005,6524.63
0.006,5600.12
0.008,4413.73
0.01,3620.45
0.0125,2985.36
0.015,2545.31
0.020,2015.42
0.025,1685.21
0.030,1445.62
0.040,1142.20
0.050,951.867
0.060,815.234
0.080,639.015
0.100,531.171
0.125,441.886
0.150,378.981
0.200,301.516
0.250,251.625
0.300,216.213
0.400,171.626
0.500,142.201
0.600,121.763
0.800,96.7015
1.0,80.4882
1.25,66.9865
1.5,57.3981
2.0,45.6316
2.5,38.1162
3.0,32.7213
4.0,25.9476
5.0,21.5358
6.0,18.4676
8.0,14.6410
10.0,12.1464
12.5,10.1042
15.0,8.64532
20.0,6.86158
25.0,5.73263
30.0,4.91812
40.0,3.89476
50.0,3.22421
60.0,2.76469
80.0,2.19151
100.0,1.81558
